evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
348883,2026-09-10T14:02:50.833073+00:00,134335225708330731,3332,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 6052, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Gui.dll c:\\WindSyst /S""}"
348885,2026-09-10T14:02:50.833116+00:00,134335225708331169,6052,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 3332, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Gui.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
349947,2026-09-10T14:02:51.059293+00:00,134335225710592939,6052,cmd.exe,Process,Process_Create,C:\Windows\SysWOW64\xcopy.exe,0x00000000,"{""PID"": 1440, ""Command line"": ""XCOPY  Qt5Gui.dll c:\\WindSyst /S""}"
349948,2026-09-10T14:02:51.059335+00:00,134335225710593357,1440,xcopy.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 6052, ""Command line"": ""XCOPY  Qt5Gui.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
351046,2026-09-10T14:02:51.276409+00:00,134335225712764096,1440,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
351051,2026-09-10T14:02:51.277175+00:00,134335225712771756,1440,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
351064,2026-09-10T14:02:51.279298+00:00,134335225712792984,1440,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
351068,2026-09-10T14:02:51.280198+00:00,134335225712801982,1440,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
351072,2026-09-10T14:02:51.280581+00:00,134335225712805810,1440,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst,0x00000000,{}
351074,2026-09-10T14:02:51.280699+00:00,134335225712806994,1440,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
351075,2026-09-10T14:02:51.280777+00:00,134335225712807779,1440,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
351087,2026-09-10T14:02:51.283070+00:00,134335225712830706,1440,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
351089,2026-09-10T14:02:51.283262+00:00,134335225712832628,1440,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Gui.dll,0xc000000f,"{""Filter"": ""Qt5Gui.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation""}"
351090,2026-09-10T14:02:51.283392+00:00,134335225712833929,1440,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
351091,2026-09-10T14:02:51.283476+00:00,134335225712834766,1440,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
351116,2026-09-10T14:02:51.288548+00:00,134335225712885486,1440,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OverwriteIf"", ""Options"": ""Sequential Access, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 6205440, ""OpenResult"": ""Created""}"
351121,2026-09-10T14:02:51.290584+00:00,134335225712905841,1440,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Gui.dll,0x00000000,{}
351126,2026-09-10T14:02:51.291532+00:00,134335225712915325,1440,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Gui.dll,0x00000000,{}
351141,2026-09-10T14:02:51.295491+00:00,134335225712954914,1440,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OpenIf"", ""Options"": ""Sequential Access, Synchronous IO Non-Alert, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 6205440, ""OpenResult"": ""Opened""}"
351143,2026-09-10T14:02:51.295796+00:00,134335225712957967,1440,xcopy.exe,File_System,QueryAttributeInformationVolume,C:\WindSyst\Qt5Gui.dll,0x00000000,{}
351144,2026-09-10T14:02:51.295891+00:00,134335225712958915,1440,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""CreationTime"": 134335225712858750, ""LastAccessTime"": 134335225712858750, ""LastWriteTime"": 134335225712858750, ""ChangeTime"": 134335225712858750, ""FileAttributes"": ""A""}"
351219,2026-09-10T14:02:51.315297+00:00,134335225713152974,1440,xcopy.exe,File_System,SetEndOfFileInformationFile,C:\WindSyst\Qt5Gui.dll,0x00000000,{}
351234,2026-09-10T14:02:51.319302+00:00,134335225713193020,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 0, ""Length"": 524288, ""Priority"": ""Normal""}"
351242,2026-09-10T14:02:51.321923+00:00,134335225713219238,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 524288, ""Length"": 524288}"
351251,2026-09-10T14:02:51.324339+00:00,134335225713243394,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 1048576, ""Length"": 524288}"
351261,2026-09-10T14:02:51.326110+00:00,134335225713261101,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 1572864, ""Length"": 524288}"
351266,2026-09-10T14:02:51.328062+00:00,134335225713280624,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 2097152, ""Length"": 524288}"
351271,2026-09-10T14:02:51.330010+00:00,134335225713300106,1440,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Gui.dll,0x00000000,"{""Offset"": 2621440, ""Length"": 524288}"
